"(Vertex,Edge)",Optimal_Size,Brute_Force_Time,Approx_Size,Approx_Time,Match_size,Approximation_Factor
"(20, 20)",8,8.645302300108597,12,2.3600063286721706e-05,6,1.5
"(20, 40)",11,7.792966300039552,14,1.550000160932541e-05,7,1.27273
"(20, 60)",13,8.085157399997115,18,2.789997961372137e-05,9,1.38462
"(20, 80)",14,8.357303100056015,18,3.360002301633358e-05,9,1.28571
"(20, 100)",15,8.53859679994639,20,4.529999569058418e-05,10,1.33333
"(20, 120)",15,9.587518700049259,18,2.4600070901215076e-05,9,1.2
"(20, 140)",17,9.622250800020993,20,5.1600043661892414e-05,10,1.17647
"(20, 160)",17,10.454578800010495,18,3.0099996365606785e-05,9,1.05882
"(20, 180)",18,10.516471300041303,20,5.9699988923966885e-05,10,1.11111
"(20, 190)",19,11.885186499916017,20,5.449994932860136e-05,10,1.05263
